ID_Cliente,Ingreso_Mensual,Tipo_Vivienda,Mora_Previa,Estado_Credito,Puntaje_Psicometrico
FT-00001,2.21,Propia,0,0,72
FT-00002,2.49,Alquilada,0,1,33
FT-00003,5.65,Propia,0,0,63
FT-00004,3.82,Alquilada,0,0,71
FT-00005,5.08,Alquilada,1,0,59
FT-00006,5.1,Propia,0,0,86
FT-00007,3.64,Propia,0,0,81
FT-00008,4.71,Propia,0,0,60
FT-00009,3.56,Propia,0,0,66
FT-00010,3.33,Alquilada,0,0,77
FT-00011,3.05,Alquilada,0,0,76
FT-00012,1.66,Alquilada,1,1,40
FT-00013,6.01,Propia,0,0,74
FT-00014,5.76,Alquilada,0,0,79
FT-00015,2.44,Propia,0,0,80
FT-00016,5.97,Propia,0,0,92
FT-00017,2.8,Propia,0,0,76
FT-00018,4.12,Propia,0,0,59
FT-00019,4.37,Propia,0,0,61
FT-00020,2.22,Propia,1,0,87
FT-00021,3.69,Propia,1,0,91
FT-00022,6.1,Propia,0,0,73
FT-00023,1.6,Alquilada,0,0,77
FT-00024,8.26,Alquilada,0,0,74
FT-00025,1.79,Propia,0,0,70
FT-00026,4.33,Propia,0,0,57
FT-00027,2.25,Propia,0,0,78
FT-00028,4.56,Propia,0,0,93
FT-00029,5.67,Propia,0,0,75
FT-00030,5.13,Propia,0,0,70
FT-00031,2.28,Alquilada,0,0,68
FT-00032,5.42,Alquilada,0,0,78
FT-00033,3.56,Propia,0,0,86
FT-00034,2.35,Alquilada,1,1,39
FT-00035,3.3,Propia,0,1,62
FT-00036,7.56,Alquilada,0,0,92
FT-00037,4.05,Propia,0,0,82
FT-00038,3.42,Alquilada,0,0,71
FT-00039,2.94,Propia,0,0,67
FT-00040,5.02,Propia,0,0,68
FT-00041,5.51,Propia,0,0,82
FT-00042,3.42,Propia,0,0,51
FT-00043,6.54,Propia,0,0,79
FT-00044,2.7,Alquilada,1,1,49
FT-00045,4.03,Propia,0,0,76
FT-00046,4.38,Propia,0,0,60
FT-00047,2.72,Propia,0,0,54
FT-00048,5.0,Propia,0,0,98
FT-00049,2.78,Propia,0,0,74
FT-00050,3.27,Propia,0,0,94
FT-00051,1.24,Propia,1,1,35
FT-00052,7.12,Propia,0,0,74
FT-00053,3.61,Propia,1,1,37
FT-00054,3.9,Propia,1,1,48
FT-00055,4.38,Propia,0,0,86
FT-00056,2.23,Alquilada,1,1,34
FT-00057,5.82,Alquilada,0,0,85
FT-00058,3.89,Propia,0,0,86
FT-00059,3.03,Alquilada,0,0,77
FT-00060,7.8,Propia,0,0,66
FT-00061,4.39,Propia,0,0,78
FT-00062,2.88,Alquilada,0,0,65
FT-00063,3.87,Propia,1,0,69
FT-00064,3.27,Propia,0,0,77
FT-00065,5.95,Propia,0,0,72
FT-00066,4.76,Propia,0,0,87
FT-00067,3.51,Propia,0,0,66
FT-00068,5.51,Propia,0,0,50
FT-00069,3.77,Alquilada,0,0,87
FT-00070,4.33,Alquilada,0,1,38
FT-00071,3.0,Alquilada,0,0,74
FT-00072,2.99,Propia,0,0,64
FT-00073,7.61,Propia,0,0,52
FT-00074,5.42,Alquilada,0,0,64
FT-00075,1.92,Propia,0,0,79
FT-00076,2.76,Propia,1,0,71
FT-00077,2.55,Propia,0,0,69
FT-00078,4.0,Propia,0,0,54
FT-00079,3.38,Propia,0,0,93
